starName	title	thumbnail	description	threadlink
Larnax	Republic of Tantalus		The Republic of Tantalus is most prosperous state on Larnax, one of the four states to emerge out of the collapse of the old Larnax Colonial Government. Centered around the capital city of Romi Bay and the (at the time) partially completed orbital elevator sited at the mouth of the Tantalus Chasm the future republic simply closed its borders and rode out the worst of the troubles. Having long had a significant UN presence due to the Larnax Junction and consequently little need or desire for local warfleets, the successor governments on Larnax all tacitly agreed on a policy that amounted to 'duck and cover'. While excroriated as cowards by some of the more virulent anti-UN groups, many of them were soon taking orbitally-dropped PGMs into presidential palaces.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-67866891
Azania	People's Democratic Federation of Azania		Azania is a major player in the Verge. Its fleet of 'patrol' ships and cruisers patrol the spacelanes to protect its expansive merchant marine and those of other nations. Despite its industrial and economic power, Azania is a state that lives and dies based on trade and access to markets. It needs to import food even with operational agricultural habitats, and needs to export finished goods and rare materials to pay for that food. The state itself, the People's Democratic Federation of Azania, is a Democratic Confederalist state of communes, wards, and stations that work together for the betterment of one another. Azania's foreign policy extends this idea of cooperation and tolerance to the stars: Azanians are perfectly happy to make friends with everyone and help the helpless, and are generally distasteful of conquerors or imperialists; they're also perfectly willing to lumber into a fight swinging, and then put both sides under their stewardship for everyone's well being.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-67869162
Byblos	Byblos		Liberated by Azania in the revolution and resultant war of independence, Byblos joined Azania's nascent economic and political bloc, and gains numerous benefits from their involvement. The economy is doing better than it ever has, and the security of Byblos and its merchant marine is securely protected by Azania's own space force. Byblos has a similar Democratic Confederalist government to that of Azania.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-67869162
Khemet	Khemet		Like Byblos and Dilmun, Khemet was liberated in the series of revolutions and wars of independence that saw Yamato's nascent empire ruined. Khemet is a Democratic Confederalist state that exists in the same supranational economic and political bloc headed by Azania.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-67869162
Dilmun	Dilmun		While relatively unimportant in the grand scheme of things, Dilmun is a relatively prosperous member of Azania's supranational bloc. Another Democratic Confederalist state like Azania, Dilmun remains a part of the bloc due to its benefits and the protection provided by Azania.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-67869162
Arta	League of Independant Fleets		The League is ruled by a shadow League Council that consists of majority of fleet admirals, less ground generals, and then fewer wealthy merchants. The League Council makes all the decisions. Its members then maintain control over strong top-down hierarchies - corporations, armies, fleets. Further, a puppet League Assembly is tasked with putting up a public face of participatory government. It consists of almost 200 nominally autonomous entities (beholden to members of the Council in fact). But while the Shadow Fleet, for example, is theoretically its own entity with theoretically its own regulations, overlaying them over those of the Arta Station will reveal 99% agreement with those of another nominally independent entity.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-67877379
Freehold	The Freehold Coalition and the Enlisted Fleet		Freehold and the Enlisted Fleet have kept their idealism and ethos intact even after the founders long passed. The concept of a commissioned officer corps is gone, replaced with a military that demands every soldier work from the bottom up. The economic market has been kept in check with AI-governed and enforced regulation and planning to ensure the corporate excesses of the past would not be repeated. Much of this helped by the UN ongoing branding Freehold as a rogue state, with frequent reminders of what defeat at the hands of the UN's now autonomous fleets may do directing the fears and motivation of Freehold as it has pursued efforts to salvage the Disrupted worlds and topple brutal dictatorships.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-67881468
Novopol	Greater Visegrad Union		The Union is a mostly democratic entity, with its own planetary parliament known as Prezydium that consists of representatives from each Administrative District. They are known as Elektors, for this very Prezydium also elects for a period of five years a Konsul to preside over the body and perform administrative decisions as the Head of Government. That person does not enjoy total control over the executive, however. Since Novopol had been a closely overseen colony for a very long time it still maintains many meritocratic traditions and far stronger institutions that used to be the only source of law and order, and accordingly members of his or her cabinet are chosen from a premade list of people considered to be well experienced and competent in the relevant field. According to Novopolan beliefs, elected officials are there to give direction to the Union, one as closely resembling the wishes of its people as possible. It is competent, experienced experts and career administrators that can and shall move it in said direction, however.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-67882023
Gran Navalon	The Federation of Gran Navalon and Rafal		As the Disconnect deepened, an increasingly nationalistic Gran Navalon entered into an era of populist rule and military interference in government that saw it begin to take steps to use its control of the entrance to the nearby cul-de-sac region as a stepping stone to bringing the systems beyond into its sphere of influence and containing the growing power of their regional rival, Rosalind and its shadowy cabal of millenarist rulers. The Navalonians proved to be entirely unprepared for the swift Rosalindian offensive that followed the first threat of an embargo on further shipments of military materials through Navalon's jump routes.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-67887744
Durazo's Star	State of Rafal		Rafal (BiS-88-III) is a harsh desert world rich in the resources necessary for high-tech civilization but otherwise mostly inhospitable. The overwhelming majority of the population is concentrated in a series of underground cities near the north pole—a similar band of settlements in the south that has been largely abandoned after suffering considerable damage during the war with Rosalind—that serve as the financial heart of the Federation's great trading network and generate the riches that make Rafal an equal partner to its military minded sister-world Navalon.	https://forums.spacebattles.com/threads/ruins-of-alien-suns-space-empire-game.857793/post-67887744
